title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
shadow dancer,2012,"In 1993, the IRA member Collette is arrested in the London tube after leaving a bomb in the facility. MI-5 Agent Mac offers a deal to Collette to become an informer. She accepts the agreement to protect her son and in return Mac offers a new identity to her after a period working for the MI-5. Soon Mac learns that his superior Kate Fletcher is using Collette to protect her mole inside the Irish organization. Mac tries to find the identity of the informer and protect Collette.",set 1990s belfast active member ira becomes informant mi5 order protect son welfare,action drama thriller,tt1770734,5zI95PBzTvQ,6.2,James Marsh,action drama thriller
sexy beast,2000,"Gal, Deedee, Aitch and Jackie, having left behind respective lives of ill-repute, bask in the sun of Spain and in the most essential brand of leisure. A hazy yarn of barbecues, beer and botched hunting expeditions make up their retirements, until a sudden and unforeseen disruption emerges from their past. Enter the childishly violent and hilariously edgy Don Logan. Through a series of side-splitting negotiations and irrevocable acts, retired crook Gal is forced to shake off the rust and accept one last mission, put forth by the menacing Logan, his ex-mentor. A heist of legendary proportion and personal implications, this job should make for one hell of an encore.",brutal gangster logan recruit quot retired quot safecracker gal one last job go badly,action crime drama thriller,tt0203119,LNydg8AcOUk,7.3,Jonathan Glazer,action crime drama thriller
sex drive,2008,"Ian is a high school senior in suburban Chicago, plagued by being a virgin. Online he's inflated his resume, met Ms. Tasty, and agreed to drive to Knoxville where she promises sex. He steals his homophobic, macho brother's GTO, and, with his two best friends, Lance and Felicia, heads south. Every young woman who meets Lance, including Felicia, is attracted to him, as he practices his aptly learned ""Pick-Up Artist"" skills. Ian, on the other hand, is a decent guy who wouldn't mind if his friendship with Felicia became a romance. By the time they get to Knoxville, they have encountered a jealous boyfriend, a menacing hitchhiker, jail birds, carjackers, an Amish community, and Ian's better judgment.",high school senior drive cross country best friend hook babe met online,action adventure comedy romance,tt1135985,SbTxO485zYo,6.5,Sean Anders,action adventure comedy romance
seven psychopaths,2012,A struggling screenwriter (Colin Farrell) inadvertently becomes entangled in the Los Angeles criminal underworld after his friends (Christopher Walken and Sam Rockwell) kidnap a gangster's (Woody Harrelson) beloved Shih Tzu.,struggling screenwriter inadvertently becomes entangled los angeles criminal underworld oddball friend kidnap gangster beloved shih tzu,action comedy crime,tt1931533,jsHR77oQKEY,7.2,Martin McDonagh,action comedy crime
seven pounds,2008,"Haunted by a secret, Ben Thomas looks for redemption by radically transforming the lives of seven people he doesn't know. Once his plan is set, nothing will be able to stop him. At least that's what he thinks. But Ben hadn't planned on falling in love with one of these people and she's the one who will end up transforming him.",man fateful secret embarks extraordinary journey redemption forever changing life seven stranger,action drama romance,tt0814314,SrReLxBqpjQ,7.6,Gabriele Muccino,action drama romance
seve the movie,2014,"Seve combines dramatic recreations with electrifying archive footage to tell his incredible rags to riches story; from humble beginnings on the beaches of Spain, where aged six he taught himself the game with a broken 3 iron strapped to a stick, to becoming world number one and the greatest golfer of a generation. Directed by John-Paul Davidson (Stephen Fry in America, Brazil with Michael Palin) and edited by Saska Simpson (The Three Kings, Paranormal Witness) with original score by Academy Award winner Stephen Warbeck (Shakespeare in Love), Seve is produced by Stephen Evans (Much Ado About Nothing, BAFTA nominated The Madness of King George and Confessions of a Dangerous Mind) with the full support of the Seve Ballesteros Foundation.",despite blocked almost every turn pursuit sport loved seve ballesteros fought adversity become spectacular charismatic golfer ever play game,action drama sport,tt3149640,D0jA2fh3wp4,7.1,John-Paul Davidson,action drama sport
serenity,2005,"In the future, a spaceship called Serenity is harboring a passenger with a deadly secret. Six rebels on the run. An assassin in pursuit. When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an awesome action-packed battle between the relentless military might of a totalitarian regime who will destroy anything - or anyone - to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But, the greatest danger of all may be on their ship.",crew ship serenity try evade assassin sent recapture one member telepathic,action adventure sci-fi thriller,tt0379786,AAL6qVciZMA,7.9,Joss Whedon,action adventure sci-fi thriller
serendipity,2001,"Jonathan Trager and Sara Thomas met while shopping for gloves in New York. Though buying for their respective lovers, the magic was right and a night of Christmas shopping turned into romance. Jon wanted to explore things further but Sara wasn't sure their love was meant to be. They decided to test fate by splitting up and seeing if destiny brought them back together... Many years later, having lost each other that night, both are engaged to be married. Still, neither can shake the need to give fate one last chance to reunite them. Jon enlists the help of his best man to track down the girl he can't forget starting at the store where they met. Sara asks her new age musician fiance for a break before the wedding and, with her best friend in tow, flies from California to New York hoping destiny will bring her soulmate back. Near-misses and classic Shakespearean confusion bring the two close to meeting a number of times but fate will have the final word on whether it was meant to be.",couple search year night first met fell love separated convinced one day end together,action comedy romance,tt0240890,ePU2Ux9JIMM,6.9,Peter Chelsom,action comedy romance
seraphim falls,2006,"In the 1860s, five men have been tracking a sixth across Nevada for more than two weeks. They shoot and wound him, but he gets away. They pursue, led by the dour Carver, who will pay them each $1 a day once he's captured. The hunted is Gideon, resourceful, skilled with a knife. Gideon's flight and Carver's hunt require horses, water, and bullets. The course takes them past lone settlers, a wagon train, a rail crew, settlements, and an Indian philosopher. What is the reason for the hunt; what connects Gideon and Carver? What happened at Seraphim Falls?",end civil war colonel hunt man grudge,action drama thriller war western,tt0479537,VBM6qxWc8os,6.7,David Von Ancken,action drama thriller war western
selma,2014,"The unforgettable true story chronicles the tumultuous three-month period in 1965, when Dr. Martin Luther King, Jr. led a dangerous campaign to secure equal voting rights in the face of violent opposition. The epic march from Selma to Montgomery culminated in President Johnson signing the Voting Rights Act of 1965, one of the most significant victories for the civil rights movement. Director Ava DuVernay's ""Selma"" tells the story of how the revered leader and visionary Dr. Martin Luther King, Jr and his brothers and sisters in the movement prompted change that forever altered history.",chronicle martin luther king campaign secure equal voting right via epic march selma montgomery alabama 1965,action biography drama history,tt1020072,x6t7vVTxaic,7.5,Ava DuVernay,action biography drama history
seeking justice,2011,"In New Orleans, English teacher of the high school Rampart High, Will Gerard, and his wife, musician Laura Gerard, are in love with each other. One night, Laura leaves a rehearsal and is assaulted, while Will is playing chess with his friend Jimmy. Will is visiting her in hospital when, out of the blue, a stranger named Simon tells him that he belongs to an organization of vigilantes and offers to eliminate the assailant. In return, the organisation would want a favor from Will in the future. Will agrees, and the criminal is murdered. Six months later, Simon collects his debt with Will. He demands that Will kill Alan Marsh, a pedophile. Will accidentally kills Alan and soon he learns that the victim was an awarded journalist that was investigating the organization. Now he seeks evidences to prove his innocence but the network of the organization is powerful and is seeking Will out to eliminate him.",wife assaulted husband enlists service vigilante group help settle score discovers want favor return,action crime drama mystery thriller,tt1214962,ZLNMbGc9O6I,6.2,Roger Donaldson,action crime drama mystery thriller
seeking a friend for the end of the world,2012,"An asteroid named ""Matilda"" is on a collision course towards Earth and in three weeks the world will come to an absolute end. What would you do if your life and the world were doomed? One man decides to spend his time searching for his long lost love from high school during the coming catastrophe.",asteroid nears earth man find alone wife leaf panic decides take road trip reunite high school sweetheart accompanying neighbor inadvertently put wrench plan,action adventure comedy drama romance,tt1307068,xaX9gs7IxYM,6.7,Lorene Scafaria,action adventure comedy drama romance
seduced and abandoned,2013,"SEDUCED AND ABANDONED combines acting legend Alec Baldwin with director James Toback as they lead us on a troublesome and often hilarious journey of raising financing for their next feature film. Moving from director to financier to star actor, the two players provide us with a unique look behind the curtain at the world's biggest and most glamourous film festival, shining a light on the bitter-sweet relationship filmmakers have with Cannes and the film business. Featuring insights from directors Martin Scorsese, 'Bernando Bertolucci' and Roman Polanski; actors Ryan Gosling and Jessica Chastain and a host of film distribution luminaries.",exploration several interconnected subject cannes film festival cinema art money glamor death,action documentary,tt2402179,yNqZjDqUOm0,6.7,James Toback,action documentary
secret window,2004,"Mort Rainey is a successful writer going through a rather unfriendly divorce from his wife of ten years, Amy. Alone and bitter in his cabin, he continues to work on his writing when a stranger named John Shooter shows up on his doorstep, claiming Rainey stole his story. Mort says he can prove the story belongs to him and not Shooter, but while Mort digs around for the magazine which published the story in question years ago, things begin to happen around Shooter. Mort's dog dies, people begin to die, and his divorce proceedings with Amy continue to get uglier. It seems that Shooter has Mort over a barrel, but perhaps Mort has his own ideas on how to resolve all the problems that plague him lately.",writer accused plagiarism strange man start haunting quot justice quot,action drama mystery thriller,tt0363988,QboGT3v7c5A,6.6,David Koepp,action drama mystery thriller
secret of the wings,2012,"Tinker Bell finds herself crossing into the Winter Woods. There she meets Periwinkle and together they find the magical powers that their wings obtain. They have to save the Pixie Tree from a dark winter, but something horrible happens to Tinker Bell, will the wing power fix it?",tinkerbell wanders forbidden winter wood meet periwinkle together learn secret wing try unite warm fairy winter fairy help pixie hollow,action animation family fantasy,tt1217213,UpFv8M2HdQ4,7.2,Roberts Gannaway,action animation family fantasy
scream 4,2011,"Sidney Prescott, now the author of a self-help book, returns home to Woodsboro on the last stop of her book tour. There she reconnects with Sheriff Dewey and Gale, who are now married, as well as her cousin Jill and her Aunt Kate. Unfortunately, Sidney's appearance also brings about the return of Ghostface, putting Sidney, Gale, and Dewey, along with Jill, her friends, and the whole town of Woodsboro in danger.",ten year passed sidney prescott put back together thanks part writing visited ghostface killer,action horror mystery,tt1262416,IaCvEwm3SXs,6.2,Wes Craven,action horror mystery
scott pilgrim vs. the world,2010,"Scott Pilgrim plays in a band which aspires to success. He dates Knives Chau, a high-school girl five years younger, and he hasn't recovered from being dumped by his former girlfriend, now a success with her own band. When Scott falls for Ramona Flowers, he has trouble breaking up with Knives and tries to romance Ramona. As if juggling two women wasn't enough, Ramona comes with baggage: seven ex-lovers, with each of whom Scott must do battle to the death in order to win Ramona.",scott pilgrim must defeat new girlfriend seven evil ex order win heart,action comedy fantasy romance,tt0446029,7wd5KEaOtm4,7.5,Edgar Wright,action comedy fantasy romance
scooby-doo! wrestlemania mystery,2014,"When Shaggy and Scooby win tickets to WrestleMania, the entire gang travels in the Mystery Machine to WWE City to attend the epic event. However, when a mysterious ghostly bear appears and threatens to ruin the show, Scooby, Shaggy, Velma, Daphne and Fred work with WWE Superstars to solve the case.",shaggy scooby win ticket wrestlemania entire gang travel mystery machine wwe city attend epic event however mysterious ghostly bear appears,action animation comedy family mystery,tt2337576,fZpsstQKElU,6.4,Brandon Vietti,action animation comedy family mystery
