title,year,summary,short_summary,genres,imdb_id,youtube_trailer,rating,director,cast
"run, fatboy, run",2007,"Dennis is a clueless and slightly overweight guy, who left his pregnant fiancée five years earlier. Every day, Dennis tries to persuade the woman he loves to accept him back into his life, but everyday he fails. When he discovers that Libby has found a partner in the form of American Whit, frustration grows, and Dennis vows, that for once in his life, he will finish something. This something ends up being a Nike River-run in London. With his friends Gordon and Mr. Ghoshdashtidar by his side, Dennis begins training for the marathon he must finish.",five year jilting pregnant fianc wedding day shape dennis decides run marathon win back,action comedy romance sport,tt0425413,NtNA5SnLhwg,6.6,David Schwimmer,action comedy romance sport
run all night,2015,"Professional Brooklyn hitman Jimmy Conlon is more commonly known as THE GRAVEDIGGER. Jimmy was a mob hit-man, who was best friends with his boss Sean Maguire. But when Jimmy's son, Michael, is marked for death by the mob, Jimmy must go up against Sean to protect Michael at all costs. Together, he and Michael must avoid corrupt cops, contract killers and the mob to survive the night.",mobster hit man jimmy conlon one night figure loyalty lie estranged son mike whose life danger longtime best friend mob bos shawn maguire want mike pay death son,action crime drama thriller,tt2199571,7uDuFh-nC-c,6.6,Jaume Collet-Serra,action crime drama thriller
rudderless,2014,"A grieving father in a downward spiral stumbles across a box of his recently deceased son's demo tapes and lyrics. Shocked by the discovery of this unknown talent, he forms a band in the hope of finding some catharsis.",grieving father downward spiral stumble across box recently deceased son demo tape lyric shocked discovery unknown talent form band hope finding catharsis,action comedy drama music,tt1798243,FGBVnURPuOg,7.5,William H. Macy,action comedy drama music
ruby sparks,2012,"Calvin is a genius novelist who begins to type a new novel on his manual typewriter about Ruby, his dream girl. He can't believe his eyes, because the next day, Ruby becomes a real person, and they begin to have a beautiful relationship together. If the relationship isn't perfect, all Calvin has to do is simply type the words on the page and Ruby's actions change to what he needs.",novelist struggling writer block find romance unusual way creating female character think love willing existence,action comedy drama fantasy romance,tt1839492,W4RJYlSgDKM,7.2,Jonathan Dayton,action comedy drama fantasy romance
rosewater,2014,"Based of a true story about a journalist who gets detained and brutally interrogated in prison for 118 days. The journalist Maziar Bahari was blindfolded and interrogated for 4 months in Evin prison in Iran, while the only distinguishable feature about his captor is the distinct smell of rosewater. An interview and sketch that Maziar did with a journalist on The Daily Show was used as evidence that Maziar was a spy and in communication with the American government and the CIA.",iranian canadian journalist maziar bahari detained iranian force brutally interrogate suspicion spy,action biography drama,tt2752688,GGOYHIqmmiM,6.6,Jon Stewart,action biography drama
room 237,2012,"A subjective documentary that explores the numerous theories about the hidden meanings within 'Stanley Kubrick (I)' 's Kubrick''s film The Shining (1980). The film may be over 30 years old but it continues to inspire debate, speculation, and mystery. Five very different points of view are illuminated through voice over, film clips, animation and dramatic reenactments. Together they'll draw the audience into a new maze, one with endless detours and dead ends, many ways in, but no way out.",exploration various interpretation stanley kubrick horror film shining 1980,action documentary,tt2085910,rOxukprEwjg,6.2,Rodney Ascher,action documentary
romeo must die,2000,"In this modern day Romeo and Juliet, kung fu action star Jet Li plays Romeo to hip-hop singer, Aaliyah Haughton's Juliet. Li is an ex-cop investigating the murder of his brother, who had ties with the Chinese mafia in America. Aaliyah plays the daughter of the American mob boss. Neither side approves of their romance, so, obviously, kung fu action ensues, with a soundtrack by Aaliyah.",avenging cop seek brother killer fall daughter businessman involved money deal father,action crime thriller,tt0165929,rNf_s4vsmw0,6.1,Andrzej Bartkowiak,action crime thriller
roman polanski: a film memoir,2011,"A documentary about Roman Polanski, the man and filmmaker. Roman Polanski speaks about his eventful life story and career in conversation with Andrew Braunsberg, his former business partner, producer, and friend of many years.",documentary roman polanski man filmmaker roman polanski speaks eventful life story career conversation andrew braunsberg former business partner producer friend many year,action documentary,tt2079571,LoNOyTMSaLI,7.2,Laurent Bouzereau,action documentary
role models,2008,"Danny and Wheeler, well into their 30s, lack something: Danny feels stuck; he's sour and has driven away his terrific girlfriend. Wheeler chases any skirt he sees for empty sex. When they get in a fight with a tow-truck driver, they choose community service over jail and are assigned to be big brothers - Danny to Augie, a geek who loves to LARP (Live Action Role Play), and Wheeler to Ronnie, a pint-size foul-mouthed kid. After a rocky start, things start to go well until both Danny and Wheeler make big mistakes. Can the two men figure out how to change enough to be role models to the boys?",wild behavior force pair energy drink rep enroll big brother program,action comedy,tt0430922,yZGYswlbU8w,6.9,David Wain,action comedy
roger dodger,2002,"Set against the bright lights of Manhattan, a tale which takes a comic, urbane look at the modern male ego at war in the singles scene trenches. Roger Swanson is a hopelessly cynical advertising copywriter with a razor-sharp wit who believes he has mastered the art of manipulating women. But Roger's seemingly foolproof world of smooth talk and casual sex begins to unravel when he is paid a surprise visit by his teenager nephew, Nick. Hoping to settle, once and for all, the issue of his virginity, Nick begs Roger to school him in the art of seducing women. Welcoming the challenge, Roger guides Nick through the city's wild nightlife for an all-night crash course, only to realize that he--the adult--still has something to learn about what women, and men, really want.",breaking lover bos smooth talking man take teenaged nephew town search sex,action comedy drama,tt0299117,cpoXKczjOgQ,7.0,Dylan Kidd,action comedy drama
rocky balboa,2006,"When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging the Itallian Stallion to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior. With the odds stacked firmly against him, Rocky takes on Dixon in what will become the greatest fight in boxing history, a hard-hitting, action-packed battle of the ages.",thirty year ring first bell rocky balboa come retirement don glove final fight reigning heavyweight champ mason line dixon,action drama sport,tt0479143,8tab8fK2_3w,7.2,Sylvester Stallone,action drama sport
rocknrolla,2008,"Lenny Cole, a London mob boss, puts the bite on all local real estate transactions. For substantial fees, he's helping Uri Omovich, a Russian developer. As a sign of good faith, Omovich loans Cole a valuable painting, promptly stolen off Cole's wall. While Cole's men, led by the dependable Archie, look for the canvas, three local petty criminals, the Wild Bunch, steal money from the Russian using inside information from his accountant, the lovely Stella. Meanwhile, a local drug-addled rocker, Johnny Quid, is reported drowned, and his connection to Cole is the key to unraveling the deceits and double crosses of life in the underworld.",london real estate scam put million pound grab attracting city scrappiest tough guy established underworld type looking get rich quick city seasoned criminal vie cash unexpected player drugged rock roller presumed dead much alive multi million dollar prize fall,action crime thriller,tt1032755,dEUtnlFouOI,7.3,Guy Ritchie,action crime thriller
